,video_id,popularity,title_length,nation
0,8h--kFui1JA,70,43,GB
1,VYOjWnS4cMY,69,51,GB
2,vjSohj-Iclc,65,24,GB
3,UUkn-enk2RU,64,55,GB
4,l884wKofd54,64,61,GB
5,zxwfDlhJIpw,64,34,GB
6,CX11yw6YL1w,63,67,GB
7,5GHXEGz3PJg,63,31,GB
8,BspHjvU11y4,61,49,GB
9,i5qOzqD9Rms,61,30,GB
10,tJfDBSWYqU8,61,80,GB
11,pFc6I0rgmgY,61,62,GB
12,ffxKSjUwKdU,61,36,GB
13,6SuMbFuKDf8,60,61,GB
14,u_C4onVrr8U,59,73,GB
15,vjI4Alon-3Q,59,34,GB
16,iWZmdoY1aTE,58,37,GB
17,mdWcaWBxxcY,57,76,GB
18,M4ZoCHID9GI,57,46,GB
19,KUUjtUP2CrE,57,52,GB
20,oWw1BcFhk-k,56,49,GB
21,NukmFF__G-g,56,35,GB
22,rxmtHVSVjdo,56,33,GB
23,OAGfx7eB3gA,56,61,GB
24,kton-qrKNLc,56,27,GB
25,Wpm07-BGJnE,56,21,GB
26,T4FAg5A4wQk,55,51,GB
27,YBpdL9hSac4,55,35,GB
28,elwTgpHlty0,55,36,GB
29,pcJo0tIWybY,55,47,GB
30,tjA7nAHOAww,55,53,GB
31,J-dv_DcDD_A,54,30,GB
32,NooW_RbfdWI,54,57,GB
33,BhIEIO0vaBE,54,15,GB
34,SCq8n_hOcN8,53,38,GB
35,4HU6Z7anycw,53,29,GB
36,wbSwFU6tY1c,53,24,GB
37,uRP4nAGMYCY,53,21,GB
38,tCXGJQYZ9JA,53,23,GB
39,p6E9R9qv1No,52,93,GB
40,dzxFdtWmjto,52,36,GB
41,2ATuTL5i0_c,52,72,GB
42,fNVUTgd4pio,52,48,GB
43,4uTNVumfm84,52,15,GB
44,8XBLuU_4Qgo,52,87,GB
45,VwAnsAUYnw4,52,59,GB
46,DdLYSziSXII,52,28,GB
47,xZNBFcwd7zc,52,20,GB
48,425M4M3Opkk,52,41,GB
49,FhwktRDG_aQ,51,77,GB
50,V5cOvyDpWfM,51,65,GB
51,JQbjS0_ZfJ0,51,35,GB
52,T1-k7VYwsHg,51,53,GB
53,2PH7dK6SLC8,51,22,GB
54,305ryPvU6A8,50,45,GB
55,m4faDISwSVo,50,22,GB
56,Qcj15vHJTtk,50,19,GB
57,xYtsL9znopI,50,45,GB
58,Ek3aeUhHaFY,49,26,GB
59,6S9c5nnDd_s,49,58,GB
60,tGRzz0oqgUE,49,51,GB
61,2z3EUY1aXdY,48,77,GB
62,dx9mF1KJr0s,48,57,GB
63,36tggrpRoTI,48,26,GB
64,YFHHGETsxkE,48,46,GB
65,xvmTr6S00Aw,48,23,GB
66,e1bEWoblGZA,47,14,GB
67,UKserM-i0_A,47,39,GB
68,2aQykuIaJVI,47,61,GB
69,mcsTWPSMDtg,47,30,GB
70,RQm0nKoODo4,47,40,GB
71,doP7xKdGOKs,47,54,GB
72,_0ovuLsnU1A,47,32,GB
73,baj6llvgpWA,46,53,GB
74,T8lWjQRhQXY,46,29,GB
75,BZt0qjTWNhw,46,28,GB
76,XP32nDUMYS8,46,49,GB
77,UEhsFEgsI5U,46,83,GB
78,lRkTgVynmbM,46,59,GB
79,U9BwWKXjVaI,46,21,GB
80,Ml9v3wHLuWI,46,30,GB
81,mQ055hHdxbE,46,41,GB
82,R_O5x0LNksM,46,76,GB
83,DKPCBAlDw2A,46,37,GB
84,tEnCoocmPQM,46,14,GB
85,SKV6h_5XFbk,45,33,GB
86,nsZvmFUXkrI,45,50,GB
87,DkeiKbqa02g,45,51,GB
88,aEM2kOrrNJI,45,46,GB
89,ufynqs_COF4,45,23,GB
90,ouWuzQb9vNg,45,63,GB
91,i0p1bmr0EmE,45,23,GB
92,zEf423kYfqk,45,52,GB
93,aq-phmpUJ_E,45,22,GB
94,-5aaJJQFvOg,45,44,GB
95,qOioqgPyCwE,45,49,GB
96,XiHiW4N7-bo,44,76,GB
97,ZEkImgh--PE,44,41,GB
98,1Aoc-cd9eYs,44,61,GB
99,SphTGtDlhHw,44,71,GB
100,n0j_CX1S2es,44,24,GB
101,sZoZryCb0P0,44,40,GB
102,Ew-3-8itpjc,44,86,GB
103,JeRtUXTQ_aQ,44,21,GB
104,wfWIs2gFTAM,44,29,GB
105,VaGcPRMY5UM,44,70,GB
106,wowAOdTYqw8,44,43,GB
107,O8hm2Ml-pA8,44,58,GB
108,8O_MwlZ2dEg,43,20,GB
109,2WHcBwq2wHc,43,62,GB
110,oSZDe6CrfN4,43,71,GB
111,fzmM0AB60QQ,43,47,GB
112,B7AjF4of300,43,57,GB
113,NV-3s2wwC8c,43,94,GB
114,Ph54wQG8ynk,43,34,GB
115,uBYzYji4rmE,43,31,GB
116,OTHHeIAYfuU,43,21,GB
117,BQ31l1gPGKM,43,17,GB
118,oI42BohDabU,43,50,GB
119,EhSXsTSNDyo,43,52,GB
120,jYuQzAxBVZU,42,85,GB
121,mXiFHDfvn4A,42,24,GB
122,6Km34EXxGZ4,42,24,GB
123,tsp7IOr7Q9A,42,89,GB
124,pjTj-_55WZ8,42,83,GB
125,QwievZ1Tx-8,42,57,GB
126,vUTI4bPdlgE,42,13,GB
127,GEsK9GudV2M,42,34,GB
128,l_lblj8Cq0o,42,79,GB
129,AOvCyD9bbDM,42,54,GB
130,pisY6J2Ky6U,42,42,GB
131,soBb4X5Hb6k,42,87,GB
132,fQjGRb4-IQM,42,34,GB
133,3Q2j5ApzSqs,42,66,GB
134,J75enyWdbBM,42,44,GB
135,N7HFXgyTya0,41,87,GB
136,pVxOVlm_lE8,41,54,GB
137,_I_D_8Z4sJE,41,74,GB
138,dARAN1z2KqY,41,49,GB
139,QBOzHhuTzvw,41,93,GB
140,Q17z9a03YaM,41,40,GB
141,T3hXC5yNZOc,41,30,GB
142,zkG4Xpz6t68,41,42,GB
143,KQRq9FZqNj0,41,51,GB
